	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
hf100	0	0.0029	0	0	0.132	0	0.0754	0.0325	0	0	0.2821	0	0	0.0397	0.0512	0.0516	0	0	0	0	0	0.3326
hf101	0	0	0.0104	0	0.1747	0	0	0.0225	0.0351	0	0.0337	0.0495	0.0561	0	4.00E-04	0.1188	0	0	0.002	0	0.0179	0.4788
hf102	0	0	0.0207	0	0.1855	0.029	0.0264	0.0129	0.0252	0	0.0485	0	0.0682	0.0922	0.0192	0.0422	0	0	0	0.0022	0	0.4276
hf103	0	0	0.0168	0	0.1701	0.0831	0.0077	0	0.083	0	0.0674	0.0101	0.1319	0.0379	0.0735	0.0942	0	0	0.0082	0.0182	0.0021	0.1958
hf104	0	0.0824	0.0217	0	0.0923	0	0.029	0.0311	0	0	0.0552	0.0107	0.1144	0.0346	0.0709	0.0957	0	0	0	0.0036	0	0.3584
hf106	0	0.0439	0	0.0282	0.08	0.0261	0.0666	0.0068	0	0	0.107	0.0016	0.0585	0.0778	0.0703	0.0657	0	0	0.0021	0.0084	0.0064	0.3505
hf107	0.0632	0.1183	0	0.0163	0.0723	0.2249	0	0.0168	0.0786	0	0.0487	0	0.1019	0.0028	0.1024	0.0659	0	0	0	0	0	0.0879
hf111	0	0	0	0	0.1123	0	0.0162	0.0058	0	0	0.0029	0.0327	0.079	0.0377	0	0.0894	0	0	0.0429	0.0052	0	0.576
hf120	0.0042	0.0081	0	0.0046	0.217	0.1539	0	0.0694	0.0968	0	0.0915	0	0.0326	0.0345	0.0428	0.0592	0	0	0	0	0	0.1855
hf124	0	0	0	0	0.1012	0	0.0263	0.0018	0.0206	0	0.1143	0.0044	0.2059	0.0652	0.0526	0.054	0	0	0	0.0013	0	0.3524
hf126	0	0	0	0	0.1675	0	0	0.0018	0.0297	0	0.0249	0.0432	0.3096	0	0.0566	0.0389	0	0	0	0	0	0.3278
hf128	0	0	0	0	0.0362	0	0.0204	0	0.0066	0	0.0576	0	0.0242	0.1146	0.0106	0.0473	0	0	0	0.0159	0.0662	0.6003
hf136	0	0	0	0	0.0789	0	0.0277	0	0	0	0.064	0.0184	0.1704	0.0111	0	0.0679	0	0	0.0011	0	0	0.5605
hf138	0	0	0	0	0.089	0.0375	0.0246	0	0	0	0.0954	0	0.3267	0.0145	0	0.0391	0	0.0263	0.0105	0	0	0.3364
hf155	0	0	0	0	0.066	0.0949	0.0168	0	0	0	0.0645	0.0217	0.2835	0.0143	0	0.067	0	0.019	0.0189	0	0	0.3333
hf158	0	0	0.0983	0	0.0698	0	0.0371	0	0	0	0.0632	0	0.068	0.0273	0.0433	0.0677	0	0	0.0296	0.0155	0.0187	0.4614
hf159	0	0	0	0	0.0678	0	0	0	0	0	0.0559	0.0032	0.2459	0.0264	0.0989	0.0402	0	0	0	0.0136	0	0.4482
